Stock quote and option quote for MCD on 6/14/19 21:48:21

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
205.29,N,+.80,205.12,P,205.58,P,3 x 4,"2,715,937",204.00,205.805,203.78

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
2.26%,27.23,1.16,Q,5/31/19,206.39,153.13,"763,556,380",0.54

Theo parameters
Theo date,Theo stock price,Theo volatility
6/14/19, 0.00$, 0.00%

14 JUN 19  (0)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,MCD190920C145,0,0,48.86%,63.71,.903,.001,.150,-.035,3.409,49.99,B,61.250,49.99,1,22,89.24%,10.76%,20.33%,1.73%,1.73%,59.00,H,63.50,B,20 SEP 19,145,.10,B,.23,X,MCD190920P145,0,110,31.32%,.77014058,-.013,.001,.037,-.006,-.008,.35,C,.165,.35,21,45,2.02%,97.98%,3.92%,0.30%,<empty>,,
,,MCD190920C150,0,8,44.85%,58.70,.902,.002,.156,-.033,2.912,48.95,I,56.350,48.95,30,21,89.01%,10.99%,20.86%,1.90%,1.90%,54.00,M,58.70,B,20 SEP 19,150,.15,B,.23,X,MCD190920P150,0,204,29.23%,.83091598,-.016,.001,.043,-.006,-.009,.24,C,.190,.24,21,41,2.35%,97.65%,4.58%,0.34%,<empty>,,
,,MCD190920C155,0,15,40.61%,53.57,.902,.002,.160,-.031,2.487,42.38,X,51.375,42.38,7,21,88.94%,11.06%,21.08%,1.95%,1.95%,49.15,Z,53.60,B,20 SEP 19,155,.25,Z,.29,X,MCD190920P155,0,314,28.08%,1.04,-.023,.002,.058,-.008,-.013,.35,Z,.270,.35,2,30,3.22%,96.78%,6.27%,0.49%,<empty>,,
,,MCD190920C160,0,37,37.33%,48.67,.897,.003,.171,-.030,2.017,39.57,E,46.525,39.57,8,1,88.20%,11.80%,22.56%,2.22%,2.22%,44.35,N,48.70,B,20 SEP 19,160,.31,B,.38,X,MCD190920P160,0,354,26.45%,1.21,-.030,.002,.073,-.010,-.018,.42,N,.345,.42,8,30,4.09%,95.91%,7.95%,0.62%,<empty>,,
,,MCD190920C165,0,12,33.74%,43.64,.892,.004,.181,-.029,1.631,32.95,M,41.600,32.95,7,1,87.61%,12.39%,23.78%,2.35%,2.35%,39.35,Z,43.85,P,20 SEP 19,165,.40,M,.51,X,MCD190920P165,3,316,24.97%,1.43,-.040,.003,.093,-.012,-.023,.46,C,.455,.46,30,30,5.31%,94.69%,10.34%,0.82%,<empty>,,
,,MCD190920C170,0,65,30.28%,38.62,.886,.005,.193,-.028,1.287,37.05,P,36.675,37.05,21,21,86.81%,13.19%,25.40%,2.49%,2.49%,34.40,B,38.95,B,20 SEP 19,170,.55,M,.66,P,MCD190920P170,0,992,23.51%,1.71,-.054,.004,.118,-.014,-.032,.90,X,.605,.90,30,13,6.94%,93.06%,13.53%,1.09%,<empty>,,
,,MCD190920C175,6,559,27.61%,33.84,.871,.006,.214,-.028,.960,31.95,N,31.900,31.95,2,8,85.05%,14.95%,28.85%,2.89%,2.89%,31.65,N,32.15,N,20 SEP 19,175,.80,X,.87,N,MCD190920P175,4,419,22.22%,2.10,-.075,.006,.152,-.017,-.044,.85,E,.835,.85,10,1,9.31%,90.69%,18.15%,1.50%,<empty>,,
,,MCD190920C180,2,251,25.47%,29.28,.847,.008,.244,-.030,.694,26.80,Z,27.275,26.80,2,9,82.25%,17.75%,34.30%,3.57%,3.57%,27.05,N,27.50,N,20 SEP 19,180,1.13,Q,1.20,Z,MCD190920P180,0,492,21.00%,2.61,-.104,.008,.193,-.020,-.060,1.28,P,1.165,1.28,3,4,12.55%,87.45%,24.46%,2.09%,<empty>,,
,,MCD190920C185,9,430,23.15%,24.71,.816,.010,.277,-.031,.515,21.90,P,22.675,21.90,9,70,78.90%,21.10%,40.83%,4.29%,4.29%,22.45,N,22.90,M,20 SEP 19,185,1.61,N,1.74,B,MCD190920P185,20,847,19.97%,3.32,-.145,.011,.244,-.024,-.084,1.69,X,1.675,1.69,1,21,17.14%,82.86%,33.37%,3.01%,<empty>,,
,,MCD190920C190,18,521,21.31%,20.43,.770,.013,.320,-.033,.397,17.90,B,18.325,17.90,5,23,73.96%,26.04%,50.43%,5.45%,5.45%,18.15,Z,18.50,B,20 SEP 19,190,2.29,N,2.46,B,MCD190920P190,11,995,18.89%,4.20,-.200,.014,.299,-.028,-.116,2.42,Q,2.375,2.42,9,21,23.04%,76.96%,44.82%,4.27%,<empty>,,
