Stock quote and option quote for BP on 6/14/19 21:46:56

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
40.91,N,-.31,40.86,P,41.20,P,4 x 1,"4,560,294",40.87,40.97,40.76

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
6.01%,13.97,.615,Q,5/9/19,47.25,36.28,"3,391,322,800",0.64

Theo parameters
Theo date,Theo stock price,Theo volatility
6/14/19, 0.00$, 0.00%

14 JUN 19  (0)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,BP190712C39,0,6,25.23%,2.93,.755,.115,.036,-.013,.018,2.58,X,2.255,2.58,14,21,72.40%,27.60%,52.75%,10.62%,10.62%,2.23,N,2.28,X,12 JUL 19,39,.26,W,.29,H,BP190712P39,0,33,20.10%,1.00,-.205,.122,.033,-.012,-.007,.30,X,.275,.30,2,11,22.27%,77.73%,42.61%,8.47%,<empty>,,
,,BP190712C40,0,0,22.64%,2.16,.637,.149,.043,-.014,.017,0, ,1.475,0,86,60,60.79%,39.21%,74.42%,17.39%,17.39%,1.43,M,1.52,B,12 JUL 19,40,.48,W,.53,H,BP190712P40,407,11,18.54%,1.30,-.343,.172,.042,-.015,-.012,.52,C,.505,.52,13,84,36.42%,63.58%,69.05%,15.55%,<empty>,,
,,BP190712C41,120,18,20.69%,1.51,.477,.170,.046,-.014,.014,.83,Z,.850,.83,14,30,45.30%,54.70%,96.69%,26.17%,28.94%,.83,N,.87,W,12 JUL 19,41,.85,H,.91,H,BP190712P41,183,48,16.78%,1.67,-.532,.204,.046,-.015,-.018,.91,N,.880,.91,41,58,55.30%,44.70%,95.89%,24.32%,<empty>,,
,,BP190712C42,67,974,19.20%,.99795693,.303,.159,.040,-.012,.009,.41,Z,.415,.41,20,1,28.49%,71.51%,60.17%,12.78%,46.33%,.40,N,.43,N,12 JUL 19,42,1.42,X,1.50,M,BP190712P42,0,18,14.93%,2.15,-.747,.184,.037,-.012,-.025,1.29,X,1.460,1.29,50,76,76.33%,23.67%,50.15%,11.39%,<empty>,,
,,BP190712C43,42,175,18.24%,.6298075,.158,.115,.028,-.008,.005,.18,M,.170,.18,90,2,14.61%,85.39%,30.59%,5.23%,69.58%,.16,W,.18,N,12 JUL 19,43,2.16,M,2.37,X,BP190712P43,0,2,13.35%,2.79,-.913,.099,.018,-.008,-.031,2.23,E,2.265,2.23,31,307,92.26%,7.74%,16.22%,5.39%,<empty>,,
,,BP190712C44,0,166,18.71%,.44518196,.079,.068,.017,-.005,.002,.14,X,.075,.14,67,67,7.16%,92.84%,14.88%,2.31%,97.44%,.06,H,.09,H,12 JUL 19,44,3.05,H,3.25,H,BP190712P44,0,0,0.04%,3.48,-.995,.00,.00,-.004,-.035,0, ,3.150,0,79,86,100.00%,0.00%,0.00%,1.85%,<empty>,,
,,BP190712C45,0,3,21.35%,.42870462,.054,.045,.013,-.004,.002,.09,X,.055,.09,0,447,4.81%,95.19%,9.96%,1.69%,127.61%,0,J,.11,M,12 JUL 19,45,4.05,B,4.20,M,BP190712P45,0,0,0.04%,4.47,-.995,.00,.00,-.004,-.036,0, ,4.125,0,24,61,100.00%,0.00%,0.00%,1.08%,<empty>,,
,,BP190712C46,0,0,23.05%,.37602989,.034,.029,.009,-.003,.001,0, ,.035,0,0,415,2.98%,97.02%,6.15%,1.08%,157.78%,0,J,.07,M,12 JUL 19,46,4.85,B,5.20,H,BP190712P46,0,0,--,<empty>,-1.000,.00,1.128,.00,.00,0, ,5.025,0,84,42,100.00%,0.00%,0.00%,-2.00%,<empty>,,
,,BP190712C47,0,0,24.96%,.34774149,.024,.019,.006,-.003,.001,0, ,.025,0,0,246,2.02%,97.98%,4.15%,0.77%,188.26%,0,M,.05,C,12 JUL 19,47,6.00,X,6.25,B,BP190712P47,0,0,0.03%,6.46,-1.000,.00,1.110,.00,.00,0, ,6.125,0,36,84,100.00%,0.00%,0.00%,1.08%,<empty>,,
,,BP190712C48,0,0,26.05%,.29373147,.015,.012,.004,-.002,.00,0, ,.015,0,0,134,1.21%,98.79%,2.48%,0.46%,218.73%,0,J,.03,W,12 JUL 19,48,7.00,X,7.30,M,BP190712P48,0,0,0.04%,7.46,-1.000,.00,1.092,.00,.00,0, ,7.150,0,36,93,100.00%,0.00%,0.00%,1.85%,<empty>,,
