Stock quote and option quote for PFE on 6/14/19 21:45:37

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
42.76,N,+.26,42.58,P,42.85,P,1 x 4,"12,521,887",42.52,42.87,42.48

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
3.37%,21.82,.36,Q,5/9/19,46.47,35.73,"5,559,929,200",0.74

Theo parameters
Theo date,Theo stock price,Theo volatility
6/14/19, 0.00$, 0.00%

14 JUN 19  (0)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,PFE190726C36,0,0,--,<empty>,1.000,.00,.00,.00,.00,0, ,6.750,0,72,23,100.00%,0.00%,<empty>,-0.20%,0.00%,6.15,B,7.35,A,26 JUL 19,36,0,J,.16,C,PFE190726P36,0,0,29.91%,.51738224,-.043,.021,.013,-.005,-.002,0, ,.080,0,0,550,5.34%,94.66%,10.41%,1.59%,<empty>,,
,,PFE190726C36.5,0,0,--,<empty>,1.000,.00,.00,.00,.00,0, ,5.700,0,51,48,100.00%,0.00%,<empty>,-11.12%,0.00%,4.35,M,7.05,B,26 JUL 19,36.5,0,J,.20,X,PFE190726P36.5,20,240,29.27%,.57389852,-.053,.025,.016,-.006,-.003,.05,M,.100,.05,0,394,6.51%,93.49%,12.68%,1.99%,<empty>,,
,,PFE190726C37,0,0,27.15%,6.17,.936,.020,.016,-.005,.012,0, ,5.800,0,48,72,93.22%,6.78%,13.22%,0.79%,0.79%,4.80,B,6.80,B,26 JUL 19,37,0,J,.22,X,PFE190726P37,0,0,27.81%,.58956752,-.060,.029,.018,-.006,-.003,0, ,.110,0,0,779,7.28%,92.72%,14.19%,2.19%,<empty>,,
,,PFE190726C37.5,0,0,51.11%,7.48,.793,.037,.041,-.023,.026,0, ,6.125,0,48,48,74.32%,25.68%,48.67%,17.18%,17.18%,4.85,B,7.40,B,26 JUL 19,37.5,.06,H,.09,X,PFE190726P37.5,0,0,23.67%,.45367906,-.050,.030,.015,-.004,-.003,0, ,.075,0,124,162,5.94%,94.06%,11.61%,1.49%,<empty>,,
,,PFE190726C38,0,0,28.41%,5.47,.892,.041,.026,-.008,.023,0, ,4.925,0,24,22,87.46%,12.54%,24.35%,3.28%,3.28%,4.70,B,5.15,B,26 JUL 19,38,.08,H,.11,H,PFE190726P38,0,0,22.88%,.50367417,-.063,.037,.018,-.005,-.003,0, ,.095,0,159,71,7.39%,92.61%,14.42%,1.89%,<empty>,,
,,PFE190726C38.5,0,0,30.15%,5.23,.853,.051,.033,-.011,.026,0, ,4.550,0,81,512,82.90%,17.10%,33.09%,5.76%,5.76%,4.40,W,4.70,X,26 JUL 19,38.5,.10,X,.13,A,PFE190726P38.5,0,0,21.84%,.54478369,-.077,.045,.021,-.006,-.004,0, ,.115,0,161,70,8.93%,91.07%,17.42%,2.28%,<empty>,,
,,PFE190726C39,0,0,28.26%,4.74,.837,.059,.035,-.011,.027,0, ,4.075,0,20,705,81.25%,18.75%,36.30%,6.26%,6.26%,3.95,W,4.20,X,26 JUL 19,39,.13,W,.16,X,PFE190726P39,1,10,20.99%,.60345683,-.097,.056,.025,-.006,-.005,.16,E,.145,.16,98,329,11.05%,88.95%,21.55%,2.88%,<empty>,,
,,PFE190726C39.5,0,0,25.62%,4.20,.825,.069,.037,-.010,.028,0, ,3.575,0,126,19,80.04%,19.96%,38.67%,6.26%,6.26%,3.50,X,3.65,B,26 JUL 19,39.5,.17,H,.19,I,PFE190726P39.5,0,21,20.03%,.66242938,-.121,.068,.030,-.007,-.006,.23,I,.180,.23,128,56,13.55%,86.45%,26.41%,3.58%,<empty>,,
,,PFE190726C40,0,8,25.40%,3.84,.787,.079,.042,-.011,.029,3.45,Z,3.175,3.45,64,"1,233",76.02%,23.98%,46.39%,8.24%,8.24%,3.05,M,3.30,X,26 JUL 19,40,.21,X,.24,A,PFE190726P40,0,0,19.08%,.73117947,-.150,.083,.034,-.008,-.008,0, ,.225,0,171,75,16.69%,83.31%,32.49%,4.47%,<empty>,,
,,PFE190726C40.5,0,0,23.10%,3.33,.761,.093,.045,-.011,.029,0, ,2.700,0,88,194,73.53%,26.47%,51.23%,8.74%,8.74%,2.62,H,2.78,X,26 JUL 19,40.5,.27,H,.31,X,PFE190726P40.5,0,1,18.31%,.82488075,-.190,.101,.040,-.009,-.010,.31,C,.290,.31,378,32,20.84%,79.16%,40.52%,5.76%,<empty>,,
,,PFE190726C41,0,0,22.00%,2.93,.719,.106,.049,-.012,.029,0, ,2.290,0,10,263,69.21%,30.79%,59.53%,10.53%,10.53%,2.22,Z,2.36,X,26 JUL 19,41,.35,C,.39,I,PFE190726P41,0,26,17.48%,.92701743,-.238,.121,.045,-.009,-.012,.45,B,.370,.45,474,25,25.82%,74.18%,50.11%,7.35%,<empty>,,
,,PFE190726C41.5,4,7,21.28%,2.58,.666,.118,.053,-.012,.028,1.81,C,1.920,1.81,17,815,63.87%,36.13%,69.73%,13.11%,13.11%,1.83,Z,2.01,X,26 JUL 19,41.5,.45,X,.50,A,PFE190726P41.5,0,12,16.67%,1.05,-.297,.141,.051,-.010,-.016,.47,X,.475,.47,435,96,31.87%,68.13%,61.73%,9.44%,<empty>,,
,,PFE190726C42,0,13,19.75%,2.16,.610,.133,.056,-.012,.026,1.45,H,1.530,1.45,32,102,58.37%,41.63%,80.24%,15.30%,15.30%,1.47,H,1.59,X,26 JUL 19,42,.61,H,.64,H,PFE190726P42,2,13,16.16%,1.21,-.370,.159,.055,-.011,-.019,.64,A,.625,.64,146,91,39.28%,60.72%,75.87%,12.42%,<empty>,,
,,PFE190726C42.5,3,25,18.29%,1.77,.543,.149,.058,-.012,.024,1.13,I,1.170,1.13,101,85,51.79%,48.21%,92.72%,18.08%,18.08%,1.16,H,1.18,H,26 JUL 19,42.5,.80,N,.82,H,PFE190726P42.5,1,2,15.62%,1.40,-.452,.172,.058,-.011,-.024,.83,M,.810,.83,29,163,47.51%,52.49%,91.46%,16.09%,<empty>,,
,,PFE190726C43,26,"1,939",17.44%,1.46,.465,.156,.058,-.011,.021,.90,C,.880,.90,164,37,44.22%,55.78%,92.09%,17.48%,22.25%,.87,H,.89,N,26 JUL 19,43,1.01,H,1.04,H,PFE190726P43,19,212,14.87%,1.60,-.542,.181,.058,-.011,-.028,1.01,C,1.025,1.01,76,56,56.40%,43.60%,90.74%,15.59%,<empty>,,
,,PFE190726C43.5,2,516,16.94%,1.20,.386,.154,.056,-.010,.018,.64,T,.650,.64,104,110,36.43%,63.57%,75.60%,12.91%,27.61%,.64,H,.66,M,26 JUL 19,43.5,1.22,X,1.33,B,PFE190726P43.5,0,0,13.89%,1.80,-.639,.182,.055,-.010,-.034,0, ,1.275,0,619,29,65.96%,34.04%,70.55%,10.63%,<empty>,,
,,PFE190726C44,203,87,16.44%,.97084519,.307,.146,.051,-.009,.015,.46,A,.460,.46,96,104,28.83%,71.17%,59.62%,9.14%,33.77%,.45,H,.47,H,26 JUL 19,44,1.51,X,1.65,X,PFE190726P44,0,0,12.95%,2.04,-.739,.169,.047,-.008,-.039,0, ,1.580,0,"1,059",237,75.65%,24.35%,50.27%,6.75%,<empty>,,
,,PFE190726C44.5,0,45,16.16%,.78589606,.236,.130,.045,-.008,.011,.40,X,.320,.40,31,25,22.04%,77.96%,45.45%,6.36%,40.92%,.30,W,.34,B,26 JUL 19,44.5,1.85,X,2.00,X,PFE190726P44.5,0,0,11.57%,2.29,-.842,.139,.035,-.006,-.045,0, ,1.925,0,"1,030",230,85.49%,14.51%,29.85%,3.67%,<empty>,,
,,PFE190726C45,0,107,15.92%,.62859797,.175,.110,.038,-.007,.009,.24,X,.215,.24,250,292,16.20%,83.80%,33.32%,4.27%,48.77%,.19,X,.24,X,26 JUL 19,45,2.24,X,2.40,X,PFE190726P45,0,10,9.34%,2.54,-.944,.078,.016,-.003,-.050,2.18,P,2.320,2.18,975,170,95.06%,4.94%,10.12%,1.59%,<empty>,,
,,PFE190726C45.5,0,1,15.40%,.47388858,.120,.088,.029,-.005,.006,.15,M,.130,.15,45,44,10.99%,89.01%,22.55%,2.58%,57.01%,.12,W,.14,X,26 JUL 19,45.5,2.70,X,2.84,N,PFE190726P45.5,0,0,0.03%,2.87,-.996,.00,.00,-.001,-.053,0, ,2.770,0,409,4,100.00%,0.00%,0.00%,0.60%,<empty>,,
,,PFE190726C46,0,2,15.22%,.36738046,.081,.067,.022,-.004,.004,.15,Q,.080,.15,137,42,7.35%,92.65%,15.05%,1.59%,65.95%,.07,W,.09,X,26 JUL 19,46,3.15,H,3.40,H,PFE190726P46,0,0,0.03%,3.36,-1.000,.00,.475,.00,.00,0, ,3.275,0,328,221,100.00%,0.00%,0.00%,0.70%,<empty>,,
,,PFE190726C46.5,0,0,15.53%,.30815593,.058,.051,.017,-.003,.003,0, ,.055,0,99,162,5.21%,94.79%,10.66%,1.09%,75.39%,.04,W,.07,H,26 JUL 19,46.5,3.20,B,4.05,B,PFE190726P46.5,0,0,--,<empty>,-1.000,.00,.462,.00,.00,0, ,3.625,0,56,56,100.00%,0.00%,0.00%,-2.28%,<empty>,,
,,PFE190726C47,0,0,17.35%,.34268502,.057,.045,.017,-.003,.003,0, ,.060,0,398,988,5.05%,94.95%,10.33%,1.19%,85.42%,.01,X,.11,X,26 JUL 19,47,4.00,Z,4.75,B,PFE190726P47,0,0,18.97%,4.80,-.921,.051,.021,-.006,-.052,0, ,4.375,0,34,64,93.39%,6.61%,13.54%,2.68%,<empty>,,
,,PFE190726C47.5,0,0,17.79%,.30100013,.043,.035,.014,-.003,.002,0, ,.045,0,0,"1,154",3.80%,96.20%,7.77%,0.89%,95.05%,0,D,.09,X,26 JUL 19,47.5,4.35,B,5.25,B,PFE190726P47.5,0,0,14.97%,5.02,-.976,.022,.007,-.002,-.055,0, ,4.800,0,56,80,98.21%,1.79%,3.66%,1.19%,<empty>,,
,,PFE190726C48,0,0,18.38%,.27281011,.034,.028,.011,-.002,.002,0, ,.035,0,0,919,2.97%,97.03%,6.06%,0.70%,104.78%,0,J,.07,C,26 JUL 19,48,3.80,B,5.75,B,PFE190726P48,0,0,--,<empty>,-1.000,.00,.422,.00,.00,0, ,4.775,0,72,72,100.00%,0.00%,0.00%,-9.24%,<empty>,,
,,PFE190726C48.5,0,0,19.16%,.25828827,.028,.023,.010,-.002,.001,0, ,.030,0,0,184,2.45%,97.55%,5.00%,0.60%,114.62%,0,C,.06,W,26 JUL 19,48.5,4.45,B,6.15,B,PFE190726P48.5,0,0,--,<empty>,-1.000,.00,.409,.00,.00,0, ,5.300,0,72,72,100.00%,0.00%,0.00%,-8.74%,<empty>,,
,,PFE190726C49,0,0,19.85%,.24177254,.023,.019,.008,-.002,.001,0, ,.025,0,0,253,2.00%,98.00%,4.09%,0.50%,124.45%,0,X,.05,H,26 JUL 19,49,5.30,B,7.60,B,PFE190726P49,0,0,28.90%,7.11,-.906,.038,.024,-.009,-.053,0, ,6.450,0,72,72,92.46%,7.54%,15.53%,4.17%,<empty>,,
