Stock quote and option quote for GM on 6/14/19 21:48:00

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
35.66,N,-.36,35.53,P,35.76,P,4 x 7,"4,953,403",35.88,35.99,35.54

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
4.26%,5.669,.38,Q,6/6/19,45.00,30.56,"1,418,392,900",1.18

Theo parameters
Theo date,Theo stock price,Theo volatility
6/14/19, 0.00$, 0.00%

14 JUN 19  (0)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,GM190920C39,5,"4,740",25.11%,1.09,.252,.069,.059,-.007,.022,.65,C,.660,.65,4,69,21.42%,78.58%,45.74%,6.83%,41.38%,.65,W,.67,H,20 SEP 19,39,4.00,C,4.10,W,GM190920P39,0,"1,609",22.99%,4.54,-.760,.071,.056,-.008,-.084,3.75,P,4.050,3.75,843,56,80.33%,19.67%,41.91%,7.35%,<empty>,,
,,GM190920C40,352,"16,626",24.55%,.82000963,.188,.059,.050,-.006,.017,.44,X,.445,.44,63,105,15.74%,84.26%,33.42%,4.60%,49.50%,.43,H,.46,H,20 SEP 19,40,4.80,C,4.90,H,GM190920P40,0,830,22.44%,5.28,-.825,.059,.046,-.006,-.093,4.65,I,4.850,4.65,683,48,86.18%,13.82%,29.27%,5.28%,<empty>,,
,,GM190920C41,21,"2,872",24.05%,.60396839,.135,.049,.040,-.005,.012,.31,N,.290,.31,94,142,11.11%,88.89%,23.48%,3.00%,58.25%,.28,H,.30,H,20 SEP 19,41,5.65,C,5.75,H,GM190920P41,39,654,21.65%,6.06,-.880,.046,.034,-.005,-.101,5.70,W,5.700,5.70,638,127,91.03%,8.97%,18.89%,3.72%,<empty>,,
,,GM190920C42,0,"3,056",23.86%,.4503807,.096,.038,.032,-.004,.009,.22,Z,.190,.22,62,8,7.73%,92.27%,16.26%,1.97%,67.56%,.18,H,.20,N,20 SEP 19,42,6.55,A,6.65,P,GM190920P42,0,743,20.81%,6.89,-.923,.033,.024,-.004,-.107,6.90,Q,6.600,6.90,58,34,94.68%,5.32%,11.14%,2.69%,<empty>,,
,,GM190920C43,0,990,23.63%,.32868674,.066,.029,.024,-.003,.006,.21,C,.120,.21,54,6,5.18%,94.82%,10.86%,1.24%,77.18%,.11,H,.13,W,20 SEP 19,43,7.50,W,7.60,X,GM190920P43,0,355,20.72%,7.79,-.947,.023,.016,-.003,-.112,7.83,C,7.550,7.83,51,26,96.71%,3.29%,6.88%,2.17%,<empty>,,
,,GM190920C44,0,"1,687",23.78%,.25136006,.046,.022,.018,-.002,.004,.12,Q,.080,.12,31,114,3.56%,96.44%,7.45%,0.83%,87.11%,.07,H,.09,C,20 SEP 19,44,8.40,X,8.55,X,GM190920P44,0,203,0.02%,8.58,-1.000,.00,1.421,.00,.00,9.80,X,8.475,9.80,21,23,100.00%,0.00%,0.00%,1.40%,<empty>,,
,,GM190920C45,1,"15,862",23.70%,.18355674,.031,.016,.013,-.001,.003,.06,C,.050,.06,94,150,2.32%,97.68%,4.84%,0.52%,97.15%,.04,H,.06,C,20 SEP 19,45,9.40,X,9.55,B,GM190920P45,0,251,0.02%,9.57,-1.000,.00,1.360,.00,.00,9.90,Q,9.475,9.90,21,48,100.00%,0.00%,0.00%,1.40%,<empty>,,
,,GM190920C46,0,257,23.56%,.13105869,.020,.011,.009,-.001,.002,.04,X,.030,.04,76,340,1.46%,98.54%,3.03%,0.31%,107.29%,.02,W,.04,C,20 SEP 19,46,10.35,W,10.50,B,GM190920P46,0,271,0.02%,10.56,-1.000,.00,1.299,.00,.00,11.30,A,10.425,11.30,24,48,100.00%,0.00%,0.00%,0.88%,<empty>,,
,,GM190920C47,0,281,23.02%,.08357285,.011,.007,.005,-.001,.001,.05,X,.015,.05,0,21,0.80%,99.20%,1.66%,0.16%,117.48%,0,B,.03,X,20 SEP 19,47,11.35,X,11.50,X,GM190920P47,0,24,0.02%,11.55,-1.000,.00,1.239,.00,.00,8.50,A,11.425,8.50,21,21,100.00%,0.00%,0.00%,0.88%,<empty>,,
,,GM190920C48,0,88,24.42%,.08464895,.010,.006,.005,-.001,.001,.05,W,.015,.05,0,58,0.73%,99.27%,1.51%,0.16%,127.82%,0,B,.03,H,20 SEP 19,48,12.10,H,12.65,B,GM190920P48,0,0,0.02%,12.54,-1.000,.00,1.178,.00,.00,0, ,12.375,0,101,48,100.00%,0.00%,0.00%,0.36%,<empty>,,
